timestamp,hr_bpm,snr,rmssd_ms_trend,resp_per_min,face_idx,voice_db,voice_voiced,voice_pitch_hz,voice_speech_ratio,voice_tempo_per_min,voice_pauses_per_min,voice_avg_pause_sec
2026-06-17T11:46:26,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,45.76
2026-06-17T11:46:27,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,44.99
2026-06-17T11:46:28,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,44.16
2026-06-17T11:46:29,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,43.33
2026-06-17T11:46:29,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,42.50
2026-06-17T11:46:30,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,41.73
2026-06-17T11:46:31,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,40.90
2026-06-17T11:46:32,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,40.06
2026-06-17T11:46:33,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,39.23
2026-06-17T11:46:34,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,38.40
2026-06-17T11:46:34,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,37.57
2026-06-17T11:46:35,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,36.67
2026-06-17T11:46:36,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,35.90
2026-06-17T11:46:37,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,35.01
2026-06-17T11:46:38,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,34.18
2026-06-17T11:46:39,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,33.34
2026-06-17T11:46:39,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,32.51
2026-06-17T11:46:40,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,31.68
2026-06-17T11:46:41,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,30.91
2026-06-17T11:46:42,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,30.08
2026-06-17T11:46:43,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,29.31
2026-06-17T11:46:43,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,28.48
2026-06-17T11:46:44,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,27.71
2026-06-17T11:46:45,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,26.82
2026-06-17T11:46:46,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,25.92
2026-06-17T11:46:47,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,25.15
2026-06-17T11:46:48,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,24.32
2026-06-17T11:46:48,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,23.49
2026-06-17T11:46:49,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,22.66
2026-06-17T11:46:50,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,21.82
2026-06-17T11:46:51,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,20.99
2026-06-17T11:46:52,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,20.22
2026-06-17T11:46:52,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,19.39
2026-06-17T11:46:53,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,18.62
2026-06-17T11:46:54,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,17.79
2026-06-17T11:46:55,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,17.02
2026-06-17T11:46:56,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,16.19
2026-06-17T11:46:57,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,15.36
2026-06-17T11:46:57,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,14.53
2026-06-17T11:46:58,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,13.76
2026-06-17T11:46:59,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,12.86
2026-06-17T11:47:00,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,12.10
2026-06-17T11:47:01,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,11.20
2026-06-17T11:47:02,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,10.37
2026-06-17T11:47:02,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,9.54
2026-06-17T11:47:03,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,8.70
2026-06-17T11:47:04,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,7.94
2026-06-17T11:47:05,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,7.10
2026-06-17T11:47:06,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,6.34
2026-06-17T11:47:06,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,5.50
2026-06-17T11:47:07,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,4.67
2026-06-17T11:47:08,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,3.84
2026-06-17T11:47:09,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,3.07
2026-06-17T11:47:10,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,2.24
2026-06-17T11:47:11,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,1.41
2026-06-17T11:47:11,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,0.00,
2026-06-17T11:47:12,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:13,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:14,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:15,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:16,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:16,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:17,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:18,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
